date,beach,ice,snow
2004-01,57,49,43
2004-02,55,42,29
2004-03,59,33,19
2004-04,59,31,14
2004-05,65,33,13
2004-06,72,33,11
2004-07,75,36,13
2004-08,70,33,16
2004-09,56,33,18
2004-10,44,34,24
2004-11,42,38,35
2004-12,45,47,53
2005-01,55,47,51
2005-02,57,39,30
2005-03,61,36,24
2005-04,59,34,16
2005-05,64,33,15
2005-06,78,36,12
2005-07,78,38,12
2005-08,71,36,13
2005-09,51,33,16
2005-10,48,36,23
2005-11,48,41,35
2005-12,44,51,59
2006-01,55,47,31
2006-02,55,51,32
2006-03,59,41,22
2006-04,58,40,15
2006-05,62,36,15
2006-06,74,38,13
2006-07,76,41,14
2006-08,66,37,17
2006-09,50,35,20
2006-10,44,38,27
2006-11,42,42,35
2006-12,42,52,52
2007-01,53,51,40
2007-02,55,47,45
2007-03,60,39,24
2007-04,58,36,15
2007-05,63,36,13
2007-06,72,38,12
2007-07,76,39,13
2007-08,65,39,14
2007-09,49,37,16
2007-10,44,37,20
2007-11,40,40,30
2007-12,42,53,61
2008-01,52,49,40
2008-02,54,43,34
2008-03,60,39,22
2008-04,58,36,15
2008-05,63,36,12
2008-06,72,39,12
2008-07,74,38,16
2008-08,65,37,13
2008-09,49,36,16
2008-10,43,37,22
2008-11,40,41,32
2008-12,41,53,66
2009-01,52,51,43
2009-02,53,44,28
2009-03,59,38,23
2009-04,59,35,14
2009-05,62,37,12
2009-06,70,43,14
2009-07,77,46,14
2009-08,65,41,22
2009-09,48,38,30
2009-10,42,38,31
2009-11,40,42,33
2009-12,42,53,72
2010-01,52,52,51
2010-02,54,56,72
2010-03,57,39,25
2010-04,58,36,18
2010-05,63,39,16
2010-06,75,40,15
2010-07,76,42,14
2010-08,64,40,15
2010-09,47,35,17
2010-10,42,37,21
2010-11,39,40,33
2010-12,41,52,69
2011-01,55,59,71
2011-02,60,52,57
2011-03,64,43,24
2011-04,64,48,20
2011-05,70,44,16
2011-06,83,50,15
2011-07,91,53,17
2011-08,73,46,16
2011-09,56,44,19
2011-10,49,45,29
2011-11,45,50,39
2011-12,47,63,100
2012-01,56,58,51
2012-02,60,51,35
2012-03,65,49,26
2012-04,67,49,20
2012-05,72,50,21
2012-06,83,57,26
2012-07,89,61,18
2012-08,77,50,17
2012-09,54,45,22
2012-10,47,41,26
2012-11,45,47,33
2012-12,45,61,57
2013-01,53,59,43
2013-02,56,49,53
2013-03,63,46,33
2013-04,62,43,20
2013-05,69,49,17
2013-06,82,51,16
2013-07,90,52,16
2013-08,76,46,16
2013-09,55,43,18
2013-10,47,41,23
2013-11,45,48,34
2013-12,47,64,69
2014-01,55,63,75
2014-02,59,79,77
2014-03,66,50,33
2014-04,64,47,20
2014-05,73,49,18
2014-06,83,54,17
2014-07,90,55,17
2014-08,74,100,17
2014-09,53,50,20
2014-10,47,45,24
2014-11,43,52,59
2014-12,46,59,51
2015-01,55,60,61
2015-02,58,57,74
2015-03,66,50,36
2015-04,65,48,18
2015-05,71,49,18
2015-06,85,54,23
2015-07,92,59,17
2015-08,77,61,18
2015-09,58,49,20
2015-10,48,45,25
2015-11,44,50,41
2015-12,50,61,57
2016-01,58,67,89
2016-02,64,55,46
2016-03,70,49,26
2016-04,69,52,22
2016-05,77,55,21
2016-06,91,59,19
2016-07,100,71,18
2016-08,83,56,16
2016-09,59,52,19
2016-10,55,52,24
2016-11,46,60,37
2016-12,49,88,74
2017-01,57,69,63
2017-02,62,62,44
2017-03,68,56,40
2017-04,72,58,18
2017-05,73,61,16
2017-06,89,70,15
2017-07,98,77,19
2017-08,77,63,25
2017-09,61,53,21
2017-10,49,51,24
2017-11,46,56,36
2017-12,48,71,79
2018-01,56,72,76
2018-02,60,77,48
2018-03,67,57,52
2018-04,68,57,23
2018-05,73,66,15
2018-06,89,73,15
2018-07,96,75,16
2018-08,77,62,16
2018-09,60,55,18
2018-10,52,51,26
2018-11,45,57,54
2018-12,44,67,59
